Indicador,"Agropecuario, pesca y minería",Industrias manufactureras,"Energía eléctrica, gas y agua",Construcción,"Comercio, alojamiento y suministro de comidas y bebidas","Transporte y almacenamiento, información y comunicaciones",Otros servicios,Impuestos menos subvenciones,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1
1991-12-31,29933.657972236,34227.85135940086,6566.896795819886,12841.01944473845,32678.590063144038,4905.093276588954,108891.18507943467,,231088.42028768308
1992-03-31,16543.707416323086,31603.0974596482,6665.310780498386,12011.292034463042,30388.225803399273,4592.4859414645125,113725.33099342011,,211036.6512442284
1992-06-30,17570.931079428115,33061.2940706219,8526.229763510015,12551.273364959736,31533.407933271654,4856.781233887904,107252.49154927011,,214159.4677346025
1992-09-30,19373.077856805357,33299.908061508504,8105.733647156426,13789.279342196058,31635.656337724544,4572.5927474111395,115118.22049405998,,221884.3295792121
1992-12-31,30564.40934431803,33883.18670589799,6204.55439768541,16910.63483799402,36870.774645712576,5561.5686803502795,116265.30596517517,,244401.48006243582
1993-03-31,16345.471270811591,30197.926179982638,6947.13264571409,15277.52057015036,33312.53017075196,4993.191707396751,118805.28093693023,,218432.79556353547
1993-06-30,16723.92209406081,29163.932219474013,8087.8401953966995,15158.988082968159,35746.04219673077,5234.751920902,111676.96408071442,,216131.7728864177
1993-09-30,17985.424838224877,29641.16020124722,7542.089916725018,15290.690846503938,38424.95039339652,5692.295384129591,120525.90914360298,,228458.6800852628
1993-12-31,27987.339452668573,30966.793483950587,6504.269714660841,18846.66546196997,44846.150193038084,6189.625235463928,122820.08008583337,,252126.34190704543
1994-03-31,17012.26557844117,27679.222942846245,6468.482811141385,16001.885769597142,39263.38730991023,5817.338318179366,123393.62282139095,,226486.37493344757
