Indicador,Gasto de consumo: total,Gasto de consumo: hogares,Gasto de consumo: gobierno y ISFLH,Formación bruta de capital,Formación bruta de capital: fijo,Exportaciones de bienes y servicios,Importaciones de bienes y servicios,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1
2006-09-30,223581.12799593018,179014.91914468104,43847.39403876946,37699.53340472849,38164.92093843187,83846.04525045553,62672.10412546366,278901.2249776581
2006-12-31,223511.7412312201,178782.61675500195,44126.160102926195,57450.84092274186,42484.53234571914,86136.02292341599,65312.49021785488,303970.74644846737
2007-03-31,224595.5266206671,179035.95532816942,45355.07357736437,34090.05944164363,34899.842910308485,93600.38282707546,59433.90743544754,289922.5046377596
2007-06-30,231653.76865641744,184996.80606656132,46227.28405580744,31915.173028547888,40199.081992745145,86020.04923685202,56221.20648524924,291602.32918330707
2007-09-30,241197.3823078718,193721.8850916429,46306.12493030431,43713.163750471,42261.51918923098,90374.33013904918,71148.28632362677,299916.8792102137
2007-12-31,240282.90903075956,193381.8925689462,45478.00751145356,61260.250024537374,48248.08432901483,90128.91878975682,67908.48427422516,327393.62432902737
2008-03-31,242592.46359456444,193741.77898867946,48394.5537272217,40437.4550128785,38868.01809324994,103131.95273310754,73835.83650439212,305897.4964183321
2008-06-30,254915.62012863223,204507.63492221438,49324.06955654953,52566.40355821844,53820.005493350385,99404.84191136333,85937.2202724559,313496.3484580985
2008-09-30,262013.06797766063,210407.3526112269,50357.02197434414,51271.04062937868,49960.022991646765,95776.70587421734,79538.74392785881,325071.5768815066
2008-12-31,263744.81409415824,210798.16075812405,52343.811634214835,69447.2201120333,54949.10847482197,92533.37024353562,77638.92358767436,351117.6881250446
2009-03-31,245760.83037099338,194844.84097889645,51387.63500559915,37400.49631387449,42057.45307537774,105555.10114519206,66652.00983647983,318272.3460281336
2009-06-30,257744.25945719332,205816.22515977538,51460.582313417806,37282.86763449314,45375.29040623892,99797.5278008345,68370.80855165307,322343.03209309553
2009-09-30,271474.0725594128,217502.11508693534,53007.11714010361,49486.746222812435,51005.761196059444,98982.57872500407,77246.74055041738,339340.6412652561
2009-12-31,275563.3439539796,220118.19667334456,54897.67486385186,65586.28174086337,47625.40185532746,103920.34775600141,77214.38835120601,370605.0845613597
2010-03-31,266186.4206190678,212133.2327970319,53848.002669186615,47296.85269874704,46690.57261564952,107612.71591212864,70820.48582073636,349163.3918679137
2010-06-30,280283.13958424685,225680.30298051162,52873.68557488138,43130.565747820794,52400.86486153812,117444.15777873679,79051.51506952009,356110.44713920343
2010-09-30,291363.6298630834,235159.2716051325,54042.39175996558,50186.25698925733,53878.443834076694,106248.66891690936,81708.26004111019,362025.93806333235
2010-12-31,302755.2431365386,244121.44193154495,56539.07365230787,77959.35759056271,62901.13558009421,106260.47763152876,97208.73254376558,388651.142462984
2011-03-31,284327.72558481916,227789.77210300651,55534.33314568256,56433.22922133077,51945.42842276347,121081.73494487668,87946.33177079998,368875.55163935234
2011-06-30,303096.23484709737,245450.08156654035,54859.74536431251,53763.07363334804,53837.773206704784,113590.7490122416,91107.33521289281,372718.5745397191
2011-09-30,313639.786888802,254347.7209040833,56173.62679612958,59615.809032035766,59082.236636269554,114296.14578614604,93567.20860172476,388847.4724605772
2011-12-31,316145.7691330091,255130.50286902205,58689.30439091907,70332.16201300411,66069.61513412443,113993.0541834446,96966.04830298835,400667.44409261167
2012-03-31,298137.1175428676,238209.8675297457,59295.75128992102,65048.2725279754,58364.62299320385,124300.80040357812,99526.09824693056,381150.44364898483
2012-06-30,315627.2433153394,255351.41332116074,57535.41287758034,62933.743601521914,68964.15906687098,116574.88455253479,103047.28263279804,383620.8963066101
2012-09-30,329577.51035779767,266826.74978746544,59765.463236088566,65714.69260217193,71385.58081657821,125045.76180675786,110441.70961893821,399715.15182236844
2012-12-31,335401.47269345436,270773.7606780748,62092.14011548673,81253.51503285843,74144.98535715858,113900.4308262788,106975.64005869006,420795.9253209944
2013-03-31,314988.4593507845,251347.81075567196,63186.84142393836,74360.28228313083,66911.60561777113,112341.25054233207,101537.92721624367,396409.0571237023
2013-06-30,334381.59025253216,270413.67969120457,61136.96963094791,58629.59911598291,73884.53707132055,127509.70470255242,104490.3040539019,406557.05932093237
2013-09-30,347988.431615721,282519.1941937829,61802.374713230354,61960.13381477609,70164.93763524898,127112.7352636913,112752.66294105063,412709.3903497633
2013-12-31,351120.4347757423,283880.4954540341,64312.985017163126,93125.80957152527,72256.76619962463,112563.6826441476,113027.33602716129,443124.9947895763
2014-03-31,326491.51703669113,260940.71562250692,64809.637121075095,84395.05384991916,73558.4754338805,109610.56303210414,108227.64363437216,409420.2123122374
2014-06-30,344696.76387792913,278944.08543610724,62711.062719095564,58416.52004269258,74856.94765336344,137392.24630499363,107955.5669714788,422050.2560246876
2014-09-30,357211.7815675518,290026.23408017604,63409.103105044844,60437.586074112536,72483.4693935898,133452.25713188047,111473.39591476106,428745.19200323086
2014-12-31,359287.62356577814,290531.6578868306,65729.51608492841,84856.79523019739,69132.41208552333,115926.6800490674,107419.23228155424,452309.92638775933
2015-03-31,332236.96644298884,265435.68806186726,66110.4399385152,86510.3801221424,72344.24725784088,117068.01138440383,108239.85719005721,425927.27978915325
2015-06-30,339715.0031439089,273503.77481355023,64135.222399884304,53265.07314993862,68573.12593966245,137330.4529078523,102219.70512260756,418292.3801115726
2015-09-30,353905.8958030985,286096.1056214982,64883.46001025925,51387.51844318559,62329.81583522474,124937.2109584286,95409.98223429438,428272.1941254387
2015-12-31,359542.7097977134,289968.5533289999,67048.93406343764,70890.2601144278,59990.71853621499,114067.95522912798,97598.79479026356,446382.7715771753
2016-03-31,332507.55336735514,264595.35511454934,67912.1982528058,62797.435510233794,57835.21376692104,118437.69025313464,87758.50110752728,425984.1780231963
2016-06-30,327430.2202905299,259719.26060420388,67710.95968632602,78859.06425336261,71909.69108445119,120701.23203208901,96992.67506644179,429997.8415095397
2016-09-30,331968.2643660615,262785.8258952176,69182.4384708439,61125.66906262623,71674.76767672211,115139.36699604752,93547.77646376018,414685.52396097506
2016-12-31,341049.0560257574,270196.8262124575,70852.22981329991,98557.65681963919,92194.74640453437,111062.63273214748,94930.63467400384,455738.71090354025
2017-03-31,344319.7964914689,274510.97193432605,69808.82455714287,71428.18693127911,67496.08155392174,124303.36629059052,96224.05127569515,443827.29843764345
2017-06-30,339307.5161183937,270731.4997039236,68576.0164144701,76389.05353394218,73514.3788653322,124016.12876146586,99835.47088600537,439877.22752779635
2017-09-30,341642.6929780347,272451.7972822309,69190.89569580377,54729.16031840601,67275.46783226532,122324.66710908589,98542.19842983279,420154.32197569386
2017-12-31,349687.0355376827,278130.94840189687,71556.08713578581,88276.45347674102,86421.72629916812,117721.07534541441,105035.51152768474,450649.0528321534
2018-03-31,350068.38068939396,278682.5657708766,71385.8149185174,57454.36605532836,57329.23764810715,129787.8943587748,92945.38597996821,444365.2551235289
2018-06-30,345286.91924327123,275066.16758931166,70220.75165395954,75279.54382701007,69208.88984605786,117809.40671478912,101262.26340371872,437113.6063813517
2018-09-30,350925.0003752736,280781.6660420519,70143.33433322166,61395.42328074436,64178.19459624386,114604.33095983537,104154.14219019361,422770.6124256597
2018-12-31,359296.08601569803,284628.0692457109,74668.0167699871,82785.89579128427,77490.65353382463,117758.50038140756,101197.13604230646,458643.3461460834
2019-03-31,349665.7035378486,278172.9568385944,71492.74669925419,52958.811323510046,56190.92629880058,127669.3278478857,92624.78005048736,437669.062658757
2019-06-30,347952.1299692991,276529.92618805374,71422.20378124535,74401.85945083169,68645.42407424751,125043.97402102427,100879.22002639605,446518.74341475894
2019-09-30,355188.7243133016,283643.2108469628,71545.5134663388,55726.17682088067,65094.8706295439,122530.45547601598,104737.2583798923,428708.09823030594
2019-12-31,361669.18829891714,286689.3822270053,74979.80607191184,79477.96691853323,80327.3588995404,122214.99517377405,107187.22688841536,456174.9235028091
2020-03-31,351424.09263410326,280076.7958875498,71347.29674655346,61875.47523293893,57772.115156830725,112991.20035751066,97101.24484153102,429189.5233830218
2020-06-30,301476.05086936,238553.22157936025,62922.82928999974,68739.64689715035,60334.6052116993,97331.95375345417,78408.36175893147,389139.289761033
2020-09-30,330807.4474155492,264738.5224454335,66068.9249701157,59135.148624410824,60879.298665649505,100676.61877156448,86623.77616660528,403995.4386449192
2020-12-31,343048.36935938755,272357.86024752917,70690.50911185841,93788.94952805276,89822.89396938679,105737.86942320067,99473.54071165963,443101.64759898133
2021-03-31,342923.2949715714,268287.7784262563,74635.51654531513,68638.7795989829,66171.92436598043,97947.7040633342,92505.58276496494,417004.19586892356
