Indicador,"Agropecuario, pesca y minería",Industrias manufactureras,"Energía eléctrica, gas y agua",Construcción,"Comercio, alojamiento y suministro de comidas y bebidas","Transporte y almacenamiento, información y comunicaciones",Servicios financieros,Actividades profesionales y arrendamiento,Actividades de administración pública,"Salud, educación, act. inmobiliarias y otros servicios",Valor agregado a precios básicos,Impuestos menos subvenciones,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,No,No,No,No,No,No,No,No,No,No,No,No,No
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-30,23876.888631662063,52561.271850417295,15003.116595610238,21709.945352436167,61382.54513482238,42134.196810672176,25651.126777461086,36381.89711505444,24241.41297468552,124613.84480558072,427556.2460484021,56885.61586073772,484441.86190913984
2018-12-31,40620.83330404229,57453.15402368198,12068.487704307918,23577.517205447923,63683.510990601164,44895.751404395574,26931.78046671342,36491.28616673688,24421.281698515137,132218.60169739145,462362.2046618337,58308.43713426983,520670.64179610356
2019-03-31,29042.54665572826,52093.85313620399,15511.465813281444,22036.880196755224,61641.053431534885,45342.91916917496,25392.938152987277,37629.3326248402,26519.969898868498,145544.24203127122,460755.2011106459,59156.1064936186,519911.3076042646
2019-06-30,33135.19894686297,57968.315221570454,13203.706117891306,23485.489804406654,64898.57762948369,50534.763047529166,26338.05747766593,40799.97918176089,26803.142724426376,131073.32452406458,468240.55467566196,60619.81238999174,528860.3670656538
2019-09-30,32303.516774609066,56734.87503571718,15022.297393838593,24506.681578932297,66069.18268550231,48665.73474644679,26818.097238846436,40941.09213522347,26887.631482200122,135387.92452422885,473337.03359554504,63023.60001893446,536360.6336144796
2019-12-31,50402.165898156185,58575.466138867436,11872.7846914955,28826.740146151526,71005.13968541226,51269.665217056805,27059.727061850623,40329.30533256983,26614.945133248235,143625.41177299537,509581.3510778037,64015.02210793681,573596.3731857407
2020-03-31,37558.67876118027,50436.16842169757,13735.129996003983,25343.150458801978,70200.7256892924,45885.30397208806,26657.82963491163,39921.32911298061,29208.253513540356,156042.68804941946,494989.2576099164,63629.47043950959,558618.728049426
2020-06-30,47496.339115030496,55464.0215091823,13646.280949197811,24274.759774403687,61479.682875221406,44406.90517961808,25367.68255228963,32802.50715157319,28918.60344842466,133260.57832803662,467117.36088297796,59492.69095417538,526610.0518371533
2020-09-30,35048.099975330275,59665.982671684294,16649.689257677706,25800.408068869372,68030.79710620269,46448.84795556096,26558.701407395896,35485.940094501915,29102.761564881446,142508.19463835954,485299.42274046404,67458.44472565521,552757.8674661194
2020-12-31,54394.19658920747,66433.51755464882,13533.266055015398,33546.27594591937,78101.84707166371,50126.525046560775,26719.021644022385,41072.76042493266,28535.170349985066,152874.64451295207,545337.2251949077,69800.1433385567,615137.3685334645
2021-03-31,44195.703174199334,57508.75530926217,15575.69759888636,28610.556451593944,86940.95513542561,45087.764110361604,27458.514994233243,39134.16325287295,31090.398644170687,153660.83933452913,529263.348005535,72054.06040183645,601317.4084073714
